	BACasv1	BACasv2	BACasv3	BACasv4	BACasv5	BACasv6	BACasv8	BACasv9	BACasv10	BACasv11	BACasv12	BACasv13	BACasv15	BACasv16	BACasv17	BACasv18	BACasv19	BACasv21	BACasv22	BACasv25	BACasv26	BACasv27	BACasv28	BACasv29	BACasv30	BACasv31	BACasv32	BACasv33	BACasv36	BACasv37	BACasv39	BACasv41	BACasv42	BACasv43	BACasv44	BACasv46	BACasv47	BACasv49	BACasv54	BACasv59	BACasv66	BACasv67	BACasv70	BACasv73	BACasv84	BACasv86	BACasv89	BACasv90	BACasv91	BACasv92	BACasv96	BACasv101	BACasv102	BACasv103	BACasv110	BACasv113	BACasv114	BACasv123	BACasv124	BACasv125	BACasv126	BACasv128	BACasv129	BACasv131	BACasv132	BACasv134	BACasv139	BACasv141	BACasv142	BACasv145	BACasv148	BACasv156	BACasv157	BACasv160	BACasv164	BACasv167	BACasv169	BACasv176	BACasv178	BACasv181	BACasv182	BACasv183	BACasv186	BACasv187	BACasv188	BACasv192	BACasv193	BACasv194	BACasv199	BACasv205	BACasv206	BACasv209	BACasv211	BACasv219	BACasv222	BACasv231	BACasv235	BACasv236	BACasv237	BACasv240	BACasv242	BACasv245	BACasv247	BACasv252	BACasv253	BACasv254	BACasv267	BACasv285	BACasv287	BACasv288	BACasv293	BACasv296	BACasv300	BACasv301	BACasv302	BACasv309	BACasv311	BACasv315	BACasv317	BACasv319	BACasv323	BACasv324	BACasv325	BACasv330	BACasv331	BACasv336	BACasv343	BACasv348	BACasv351	BACasv352	BACasv358	BACasv362	BACasv366	BACasv385	BACasv387	BACasv388	BACasv391	BACasv393	BACasv397	BACasv398	BACasv408	BACasv410	BACasv411	BACasv417	BACasv419	BACasv425	BACasv428	BACasv429	BACasv438	BACasv439	BACasv440	BACasv441	BACasv449	BACasv450	BACasv455	BACasv459	BACasv466	BACasv467	BACasv470	BACasv472	BACasv482	BACasv483	BACasv484	BACasv492	BACasv493	BACasv494	BACasv495	BACasv511	BACasv521	BACasv528	BACasv529	BACasv530	BACasv533	BACasv539	BACasv546	BACasv547	BACasv548	BACasv560	BACasv562	BACasv575	BACasv576	BACasv577	BACasv578	BACasv587	BACasv606	BACasv607	BACasv608	BACasv614	BACasv622	BACasv633	BACasv634	BACasv645	BACasv649	BACasv650	BACasv669	BACasv673	BACasv688	BACasv712	BACasv725	BACasv729	BACasv749	BACasv770	BACasv773	BACasv774	BACasv775	BACasv793	BACasv794	BACasv823	BACasv865	BACasv866	BACasv867	BACasv890	BACasv897	BACasv925	BACasv926	BACasv927	BACasv962	BACasv963	BACasv964	BACasv965	BACasv993
BACasv1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv2	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv3	1	1	0	1	0	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv4	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv5	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv6	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BACasv8	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv9	1	1	1	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv10	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BACasv11	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv12	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv13	0	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv16	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv17	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BACasv18	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv19	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv21	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv22	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv25	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BACasv26	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv27	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BACasv28	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv29	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv30	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv31	0	1	1	0	1	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv32	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BACasv33	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
